model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize
5 series,2014-01-01,11200,automatic,67068,diesel,125,57.6,2.0
6 series,2018-01-01,27000,automatic,14827,petrol,145,42.8,2.0
5 series,2016-01-01,16000,automatic,62794,diesel,160,51.4,3.0
1 series,2017-01-01,12750,automatic,26676,diesel,145,72.4,1.5
7 series,2014-01-01,14500,automatic,39554,diesel,160,50.4,3.0
5 series,2016-01-01,14900,automatic,35309,diesel,125,60.1,2.0
5 series,2017-01-01,16000,automatic,38538,diesel,125,60.1,2.0
2 series,2018-01-01,16250,manual,10401,petrol,145,52.3,1.5
4 series,2017-01-01,14250,manual,42668,diesel,30,62.8,2.0
5 series,2016-01-01,14250,automatic,36099,diesel,20,68.9,2.0
x3,2017-01-01,15500,manual,74907,diesel,145,52.3,2.0
1 series,2017-01-01,11800,manual,29840,diesel,20,68.9,2.0
x3,2016-01-01,15500,automatic,77823,diesel,125,54.3,2.0
2 series,2015-01-01,10500,manual,31469,diesel,20,68.9,2.0
x3,2017-01-01,22000,automatic,19057,diesel,145,54.3,2.0
3 series,2017-01-01,16500,manual,16570,diesel,125,58.9,2.0
3 series,2017-01-01,14250,automatic,55594,other,135,148.7,2.0
3 series,2017-01-01,16000,automatic,45456,diesel,30,64.2,2.0
1 series,2017-01-01,15500,automatic,22812,diesel,20,68.9,1.5
4 series,2014-01-01,14000,automatic,47348,diesel,125,60.1,2.0
1 series,2015-01-01,9700,automatic,75124,diesel,20,70.6,2.0
3 series,2015-01-01,12600,automatic,78957,diesel,30,62.8,2.0
3 series,2016-01-01,15100,automatic,29213,diesel,30,64.2,2.0
1 series,2016-01-01,9400,manual,44498,diesel,0,83.1,1.5
1 series,2016-01-01,14300,automatic,22461,diesel,20,67.3,2.0
1 series,2016-01-01,11200,manual,23005,petrol,125,53.3,1.5
3 series,2019-01-01,17800,automatic,22310,diesel,145,64.2,2.0
3 series,2016-01-01,14400,automatic,51994,diesel,30,62.8,2.0
x5,2016-01-01,19750,automatic,96213,diesel,165,52.3,2.0
x3,2015-01-01,17400,automatic,50316,diesel,200,47.9,3.0
4 series,2017-01-01,16800,automatic,44011,diesel,150,65.7,2.0
x4,2017-01-01,23000,automatic,34960,diesel,150,54.3,2.0
i3,2016-01-01,17100,automatic,25269,other,0,470.8,0.6
1 series,2017-01-01,20500,automatic,24029,petrol,145,39.8,3.0
1 series,2017-01-01,11900,manual,22920,petrol,145,53.3,1.5
2 series,2017-01-01,13000,automatic,61818,other,0,141.2,1.5
3 series,2015-01-01,11500,manual,59634,diesel,125,61.4,2.0
1 series,2016-01-01,13500,manual,29226,diesel,30,62.8,2.0
x1,2017-01-01,18900,automatic,33514,diesel,145,60.1,2.0
1 series,2018-01-01,14600,automatic,6522,petrol,145,37.2,1.5
3 series,2016-01-01,15800,manual,11231,petrol,145,47.9,2.0
1 series,2016-01-01,11400,manual,21591,petrol,125,53.3,1.5
x3,2013-01-01,12000,automatic,79972,diesel,200,47.1,3.0
1 series,2018-01-01,17500,automatic,14037,petrol,145,54.3,1.5
5 series,2017-01-01,23500,automatic,25034,diesel,200,47.9,3.0
x1,2016-01-01,16700,automatic,44478,diesel,125,60.1,2.0
x3,2017-01-01,18000,automatic,74852,diesel,150,47.1,3.0
4 series,2016-01-01,15500,automatic,45856,diesel,30,65.7,2.0
1 series,2016-01-01,9200,manual,48858,diesel,0,83.1,1.5
1 series,2017-01-01,11200,manual,40399,diesel,145,68.9,2.0
1 series,2016-01-01,13200,manual,17393,diesel,30,65.7,2.0
5 series,2014-01-01,11000,automatic,84816,diesel,30,62.8,2.0
3 series,2017-01-01,18500,automatic,27139,diesel,160,51.4,3.0
1 series,2017-01-01,12750,automatic,91563,diesel,125,60.1,2.0
3 series,2014-01-01,14000,manual,32139,petrol,205,43.5,2.0
x1,2017-01-01,14000,automatic,54120,diesel,30,65.7,2.0
x1,2017-01-01,14000,manual,20925,diesel,150,68.9,2.0
3 series,2016-01-01,12750,manual,30521,diesel,20,68.9,2.0
x1,2018-01-01,18000,manual,16066,petrol,150,51.4,1.5
1 series,2015-01-01,11100,manual,11524,diesel,0,83.1,1.5
1 series,2017-01-01,12700,manual,21809,petrol,145,53.3,1.5
1 series,2017-01-01,14500,automatic,27245,diesel,145,68.9,2.0
3 series,2013-01-01,12750,automatic,35736,diesel,125,58.9,2.0
x1,2017-01-01,14100,automatic,55782,diesel,145,65.7,2.0
1 series,2016-01-01,10800,manual,26404,petrol,125,53.3,1.5
1 series,2016-01-01,13000,manual,26631,petrol,125,52.3,1.5
1 series,2016-01-01,12500,manual,24111,petrol,145,47.1,1.6
3 series,2017-01-01,13600,manual,22763,petrol,145,48.7,2.0
3 series,2016-01-01,12700,manual,17385,diesel,20,72.4,2.0
5 series,2016-01-01,15600,automatic,35474,diesel,125,60.1,2.0
4 series,2016-01-01,15250,manual,16584,diesel,30,62.8,2.0
1 series,2018-01-01,11700,manual,30273,diesel,145,53.3,1.5
2 series,2017-01-01,10900,manual,62021,diesel,145,65.7,2.0
5 series,2016-01-01,14400,automatic,51552,diesel,30,62.8,2.0
1 series,2016-01-01,11100,manual,29508,petrol,125,53.3,1.5
1 series,2017-01-01,11100,manual,30865,diesel,145,72.4,1.5
5 series,2014-01-01,12400,automatic,46356,diesel,30,62.8,2.0
1 series,2016-01-01,12800,manual,18343,diesel,20,70.6,1.5
5 series,2014-01-01,15000,automatic,13858,diesel,125,57.6,2.0
2 series,2017-01-01,12750,manual,33752,petrol,125,52.3,1.5
x3,2016-01-01,21750,automatic,19083,diesel,150,54.3,2.0
2 series,2017-01-01,13900,automatic,46281,petrol,125,51.4,1.5
x1,2017-01-01,14000,automatic,54183,diesel,150,65.7,2.0
x1,2017-01-01,15200,automatic,36701,diesel,30,65.7,2.0
3 series,2017-01-01,13500,automatic,48082,petrol,150,51.4,2.0
x1,2016-01-01,12150,manual,77482,diesel,20,68.9,2.0
2 series,2017-01-01,16000,automatic,32389,other,0,141.2,1.5
5 series,2016-01-01,14000,automatic,39235,diesel,30,62.8,2.0
3 series,2018-01-01,19490,automatic,30703,diesel,145,57.6,2.0
1 series,2015-01-01,15499,semi-auto,20000,diesel,125,60.1,2.0
2 series,2017-01-01,13000,semi-auto,34971,diesel,150,72.4,1.5
1 series,2014-01-01,10600,semi-auto,44900,diesel,30,64.2,2.0
x3,2017-01-01,23000,semi-auto,16945,diesel,150,54.3,2.0
m4,2016-01-01,29998,semi-auto,34209,petrol,300,34.0,3.0
1 series,2017-01-01,12498,manual,14138,diesel,20,72.4,1.5
1 series,2015-01-01,7948,manual,74375,diesel,30,65.7,2.0
x1,2017-01-01,17800,automatic,31238,diesel,145,55.4,2.0
3 series,2015-01-01,13100,manual,37204,diesel,30,64.2,2.0
1 series,2017-01-01,11400,manual,26265,diesel,0,83.1,1.5
3 series,2016-01-01,14800,automatic,38838,diesel,125,57.6,2.0
x3,2016-01-01,15900,automatic,59692,diesel,145,54.3,2.0
3 series,2016-01-01,16300,automatic,34623,diesel,125,57.6,2.0
3 series,2017-01-01,14800,manual,29968,diesel,30,64.2,2.0
3 series,2017-01-01,19700,automatic,27748,diesel,200,49.6,3.0
3 series,2015-01-01,14450,automatic,47288,diesel,30,62.8,2.0
5 series,2016-01-01,13500,automatic,64117,diesel,30,65.7,2.0
5 series,2015-01-01,10900,automatic,79563,diesel,125,60.1,2.0
3 series,2016-01-01,12200,manual,34842,diesel,30,67.3,2.0
2 series,2016-01-01,10600,manual,24313,diesel,0,74.3,1.5
2 series,2015-01-01,9100,manual,40789,diesel,0,74.3,1.5
3 series,2017-01-01,12600,automatic,66743,diesel,30,67.3,2.0
5 series,2016-01-01,13600,automatic,65612,diesel,30,62.8,2.0
1 series,2016-01-01,11700,manual,21390,diesel,20,72.4,1.5
3 series,2017-01-01,12450,automatic,72065,diesel,20,70.6,2.0
5 series,2016-01-01,13500,automatic,62444,diesel,125,60.1,2.0
x3,2013-01-01,12750,automatic,71558,diesel,160,50.4,2.0
x1,2017-01-01,16700,automatic,34666,diesel,145,65.7,2.0
1 series,2016-01-01,11400,manual,22920,diesel,20,72.4,1.5
x5,2016-01-01,21000,automatic,71626,other,0,85.6,2.0
x1,2017-01-01,14700,manual,38405,diesel,145,68.9,2.0
3 series,2018-01-01,19000,automatic,20681,diesel,145,64.2,2.0
3 series,2017-01-01,15400,automatic,20529,diesel,145,65.7,2.0
x3,2016-01-01,19000,automatic,42691,diesel,145,54.3,2.0
1 series,2018-01-01,15000,automatic,10058,petrol,145,37.2,1.5
3 series,2016-01-01,17950,automatic,40337,diesel,145,53.3,3.0
5 series,2018-01-01,22600,automatic,23195,diesel,145,65.7,2.0
1 series,2017-01-01,13200,manual,17117,petrol,145,53.3,1.5
3 series,2017-01-01,12750,manual,22153,diesel,150,68.9,2.0
3 series,2015-01-01,9750,manual,56038,diesel,20,68.9,2.0
3 series,2017-01-01,10900,automatic,78345,diesel,0,74.3,2.0
x4,2016-01-01,21400,automatic,31084,diesel,145,54.3,2.0
1 series,2017-01-01,14600,automatic,5615,petrol,145,58.9,1.5
3 series,2017-01-01,12600,automatic,55751,petrol,150,51.4,1.5
x4,2017-01-01,22500,automatic,35016,diesel,150,54.3,2.0
1 series,2016-01-01,8000,manual,81579,diesel,0,83.1,1.5
x1,2017-01-01,14800,manual,31518,diesel,145,60.1,2.0
1 series,2016-01-01,9900,manual,44008,diesel,0,83.1,1.5
2 series,2016-01-01,9500,manual,59509,diesel,20,68.9,2.0
3 series,2017-01-01,17950,automatic,43703,other,140,134.5,2.0
1 series,2016-01-01,14200,automatic,36858,diesel,125,60.1,2.0
1 series,2016-01-01,12100,automatic,25786,diesel,0,74.3,2.0
1 series,2016-01-01,12700,automatic,24592,diesel,20,68.9,2.0
1 series,2016-01-01,8800,manual,51002,diesel,0,83.1,1.5
1 series,2017-01-01,15000,automatic,26052,diesel,145,68.9,2.0
3 series,2017-01-01,17100,automatic,31528,diesel,145,64.2,2.0
x3,2017-01-01,21750,automatic,25776,diesel,200,47.9,3.0
1 series,2016-01-01,13400,manual,18055,petrol,125,52.3,1.5
3 series,2014-01-01,9900,automatic,63223,diesel,20,68.9,2.0
1 series,2016-01-01,13700,manual,8719,petrol,125,52.3,1.5
4 series,2018-01-01,16900,automatic,27133,petrol,145,44.8,2.0
5 series,2018-01-01,21950,automatic,21947,diesel,150,68.9,2.0
x1,2013-01-01,8750,manual,80625,diesel,160,51.4,2.0
3 series,2017-01-01,17000,automatic,31501,other,0,134.5,2.0
1 series,2016-01-01,13750,automatic,8707,petrol,30,55.5,1.5
1 series,2017-01-01,12800,manual,10861,petrol,125,53.3,1.5
4 series,2017-01-01,16000,manual,16359,petrol,145,46.3,2.0
4 series,2017-01-01,16600,automatic,46913,diesel,145,65.7,2.0
3 series,2017-01-01,15100,manual,37747,diesel,125,60.1,2.0
4 series,2017-01-01,16750,manual,24882,petrol,145,46.3,2.0
1 series,2015-01-01,12450,manual,24474,petrol,125,52.3,1.5
3 series,2018-01-01,15700,automatic,29394,petrol,145,48.7,2.0
5 series,2016-01-01,12600,manual,59528,diesel,125,60.1,2.0
2 series,2016-01-01,14600,manual,15577,petrol,160,44.1,2.0
x1,2016-01-01,13700,manual,52226,diesel,20,68.9,2.0
3 series,2017-01-01,16900,automatic,12330,diesel,30,64.2,2.0
4 series,2015-01-01,15998,semi-auto,62943,diesel,30,65.7,2.0
x1,2020-01-01,31498,semi-auto,1560,diesel,145,60.1,2.0
2 series,2020-01-01,27998,manual,1580,petrol,150,43.5,1.5
x5,2020-01-01,54998,semi-auto,1500,diesel,150,37.7,3.0
3 series,2014-01-01,11998,manual,11545,petrol,165,44.8,2.0
2 series,2020-01-01,25998,automatic,3160,hybrid,140,113.0,1.5
1 series,2020-01-01,31998,semi-auto,1560,diesel,150,48.7,2.0
x2,2020-01-01,29998,manual,1850,diesel,150,49.6,2.0
x4,2019-01-01,33998,semi-auto,7272,diesel,150,42.8,2.0
x4,2019-01-01,33998,semi-auto,7272,diesel,150,42.8,2.0
1 series,2017-01-01,14995,manual,19866,diesel,30,65.7,2.0
4 series,2016-01-01,17995,semi-auto,22476,petrol,145,48.7,2.0
1 series,2013-01-01,14498,semi-auto,42786,petrol,235,37.7,3.0
1 series,2015-01-01,10998,manual,42410,diesel,30,65.7,2.0
5 series,2014-01-01,11998,semi-auto,60681,diesel,125,57.6,2.0
x1,2016-01-01,14498,manual,57717,diesel,125,58.9,2.0
3 series,2017-01-01,16998,semi-auto,8096,petrol,145,51.4,2.0
1 series,2015-01-01,11498,manual,49151,diesel,30,62.8,2.0
x6,2017-01-01,29498,semi-auto,40429,diesel,200,47.1,3.0
m4,2016-01-01,31498,semi-auto,21107,petrol,300,34.0,3.0
1 series,2016-01-01,19498,semi-auto,33043,petrol,200,39.8,3.0
x1,2016-01-01,17998,semi-auto,50378,diesel,125,57.6,2.0
5 series,2019-01-01,25998,semi-auto,11115,diesel,145,65.7,2.0
x1,2013-01-01,8298,manual,69020,diesel,125,57.6,2.0
8 series,2019-01-01,61898,semi-auto,2650,diesel,145,39.8,3.0
1 series,2014-01-01,13298,manual,55834,petrol,300,35.3,3.0
3 series,2019-01-01,21898,semi-auto,5761,diesel,150,55.4,2.0
1 series,2017-01-01,11498,semi-auto,47110,diesel,0,78.5,1.5
x3,2014-01-01,17495,semi-auto,54075,diesel,145,54.3,2.0
5 series,2015-01-01,14998,semi-auto,45152,diesel,30,62.8,2.0
2 series,2014-01-01,10498,manual,52091,diesel,125,58.9,2.0
1 series,2019-01-01,19998,semi-auto,4812,petrol,145,47.9,2.0
x1,2016-01-01,16698,semi-auto,37272,petrol,160,44.8,2.0
3 series,2019-01-01,27998,semi-auto,4250,diesel,145,48.7,2.0
5 series,2018-01-01,27798,semi-auto,15711,diesel,145,60.1,3.0
1 series,2016-01-01,18298,manual,21236,petrol,260,36.2,3.0
1 series,2017-01-01,14698,semi-auto,24008,petrol,145,55.5,1.5
x1,2016-01-01,18498,semi-auto,25994,diesel,145,55.4,2.0
x5,2015-01-01,27998,automatic,24188,diesel,200,47.1,3.0
x5,2015-01-01,21498,automatic,59216,diesel,200,47.9,3.0
1 series,2017-01-01,19498,manual,21171,petrol,260,36.2,3.0
1 series,2017-01-01,14498,manual,24259,petrol,145,52.3,1.5
5 series,2017-01-01,22998,semi-auto,19379,diesel,145,65.7,2.0
1 series,2017-01-01,14498,manual,20790,diesel,145,70.6,1.5
5 series,2019-01-01,29898,semi-auto,2743,diesel,145,60.1,2.0
3 series,2019-01-01,22998,semi-auto,6000,petrol,145,48.7,2.0
3 series,2019-01-01,29998,manual,3980,diesel,145,53.3,2.0
4 series,2019-01-01,29898,semi-auto,101,diesel,145,60.1,2.0
5 series,2017-01-01,20498,semi-auto,12725,diesel,145,68.9,2.0
3 series,2019-01-01,27650,semi-auto,18200,diesel,150,48.7,2.0
z4,2016-01-01,18650,semi-auto,25300,petrol,205,41.5,2.0
4 series,2018-01-01,22995,automatic,7200,petrol,145,48.7,2.0
x6,2018-01-01,36995,semi-auto,6100,diesel,145,47.1,3.0
5 series,2018-01-01,26995,automatic,6800,diesel,145,68.9,2.0
1 series,2013-01-01,11995,manual,31600,diesel,125,57.6,2.0
5 series,2018-01-01,25995,semi-auto,8700,diesel,145,49.6,2.0
x6,2016-01-01,29995,automatic,43600,diesel,200,44.8,3.0
3 series,2018-01-01,21495,semi-auto,16452,petrol,150,48.7,2.0
5 series,2017-01-01,22998,automatic,15838,diesel,145,60.1,2.0
5 series,2019-01-01,34498,automatic,6775,diesel,145,51.4,3.0
1 series,2019-01-01,18498,semi-auto,11234,diesel,145,68.9,2.0
7 series,2019-01-01,45898,semi-auto,5893,diesel,145,44.1,3.0
x3,2019-01-01,37898,semi-auto,9781,diesel,145,48.7,3.0
x5,2016-01-01,34498,automatic,17303,hybrid,0,85.6,2.0
1 series,2016-01-01,17998,manual,25334,petrol,300,35.3,3.0
3 series,2016-01-01,18498,semi-auto,36501,diesel,145,53.3,3.0
2 series,2019-01-01,23998,semi-auto,2318,petrol,145,47.9,2.0
x1,2017-01-01,21498,semi-auto,14418,diesel,145,55.4,2.0
x1,2017-01-01,18500,semi-auto,12160,diesel,145,65.7,2.0
