date,open,high,low,close,volume,daily_return_pct,daily_range,ma_20,ma_50,ma_200,ema_12,ema_26,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_14,volume_ma_20,cumulative_return_pct,year,month,quarter,day_of_week
1995-03-24,17.1538,17.205,17.0,17.4095,0,0.0,0.205,0.0,0.0,0.0,17.4095,17.4095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,3,1,friday
1995-03-27,17.6907,17.8952,17.5884,17.205,0,-1.1746,0.3068,0.0,0.0,0.0,17.378,17.3944,-0.0163,-0.0033,0.0,0.0,0.0,0.0,0.0,-1.17,1995,3,1,monday
1995-03-28,17.5884,17.6038,17.205,17.205,0,0.0,0.3988,0.0,0.0,0.0,17.3514,17.3803,-0.0289,-0.0084,0.0,0.0,0.0,0.0,0.0,-1.17,1995,3,1,tuesday
1995-03-29,17.205,17.205,17.205,17.205,0,0.0,0.0,0.0,0.0,0.0,17.3289,17.3673,-0.0384,-0.0144,0.0,0.0,0.0,0.0,0.0,-1.17,1995,3,1,wednesday
1995-03-30,17.1794,17.793,17.1794,17.7418,10,3.12,0.6136,0.0,0.0,0.0,17.3924,17.3951,-0.0027,-0.0121,0.0,0.0,0.0,0.0,0.0,1.91,1995,3,1,thursday
1995-03-31,17.7418,17.7418,17.7418,17.7418,0,0.0,0.0,0.0,0.0,0.0,17.4462,17.4208,0.0254,-0.0046,0.0,0.0,0.0,0.0,0.0,1.91,1995,3,1,friday
1995-04-03,17.7418,17.7418,17.7418,17.7418,0,0.0,0.0,0.0,0.0,0.0,17.4916,17.4445,0.0471,0.0058,0.0,0.0,0.0,0.0,0.0,1.91,1995,4,2,monday
1995-04-04,17.7418,17.7418,17.7418,17.7418,0,0.0,0.0,0.0,0.0,0.0,17.5301,17.4666,0.0636,0.0173,0.0,0.0,0.0,0.0,0.0,1.91,1995,4,2,tuesday
1995-04-05,17.7418,17.7418,17.7418,17.7418,0,0.0,0.0,0.0,0.0,0.0,17.5627,17.4869,0.0758,0.029,0.0,0.0,0.0,0.0,0.0,1.91,1995,4,2,wednesday
1995-04-06,17.7418,17.7418,17.7418,17.7418,0,0.0,0.0,0.0,0.0,0.0,17.5903,17.5058,0.0844,0.0401,0.0,0.0,0.0,0.0,0.0,1.91,1995,4,2,thursday
